,-1400,,-1200,,-1000,,-800,,-700,,-600,,-500,,-400,,-300,,-200,,-100,,-50,,-20,,-10,,0,,5,,10,,+20,,50,,+100,,200,,300,,+400,,500,,600,,700,,+800,,900,,1000,,+1200,,1400
-20,0.210062,-20,0.415867,-20,1.021947,-20,1.615575,-20,0.489529,-20,1.706963,-20,1.719418,-20,1.709542,-20,1.741719,-20,1.73919,-20,1.739074,-20,1.636904,-20,1.055392,-20,0.964906,-20,1.208926,-22,1.337546,-20,1.618916,-20,1.492487,-20,0.907095,-20,0.575249,-20,0.528131,-20,0.497144,-20,0.491089,-20,0.488436,-20,0.483047,-20,0.489529,-20,0.506028,-20,0.705703,-20,1.272902,-20,1.824046,-20,2.005197
-22,0.207566,-22,0.445854,-22,1.113083,-22,1.604462,-20,0.473772,-22,1.731812,-22,1.733718,-22,1.739311,-22,1.741544,-22,1.740234,-22,1.738477,-22,1.734376,-22,1.665559,-22,1.513312,-22,1.308412,-24,1.120609,-22,1.306708,-22,0.979083,-22,0.583965,-22,0.488688,-22,0.471551,-22,0.462434,-20,0.475847,-20,0.474138,-20,0.466815,-20,0.473772,-20,0.498005,-20,0.645653,-20,1.187361,-22,1.838481,-22,1.99856
-22,0.206797,-22,0.42374,-22,1.13572,-22,1.617495,-18,0.471266,-22,1.729902,-22,1.734184,-22,1.738701,-22,1.74184,-22,1.735505,-22,1.735142,-22,1.733573,-24,1.852386,-24,1.776279,-24,1.377286,-26,1.145718,-24,1.090189,-24,0.761721,-22,0.534853,-22,0.466705,-22,0.455776,-22,0.450683,-18,0.467518,-18,0.469449,-18,0.467819,-18,0.471266,-18,0.478593,-18,0.554463,-18,0.853625,-22,1.845967,-22,1.996559
-20,0.203581,-20,0.418449,-20,1.135017,-20,1.595033,-16,0.470564,-20,1.730139,-20,1.738299,-20,1.739265,-20,1.740433,-20,1.74223,-20,1.739656,-20,1.732553,-26,1.859436,-26,1.704592,-26,1.421249,-28,1.104305,-26,0.944062,-24,0.736015,-20,0.518159,-20,0.461029,-20,0.448438,-20,0.439845,-16,0.470386,-16,0.472062,-16,0.469865,-16,0.470564,-16,0.474922,-16,0.506632,-16,0.616384,-20,1.845454,-20,1.998331
-18,0.201851,-18,0.522668,-18,1.366788,-18,1.640054,-14,0.47172,-18,1.730149,-18,1.73425,-18,1.738223,-18,1.744396,-18,1.739333,-18,1.737354,-18,1.73257,-26,1.869094,-26,1.716595,-28,1.326669,-28,1.114449,-26,0.987082,-22,0.754183,-18,0.520812,-18,0.457532,-18,0.450385,-18,0.434915,-14,0.468652,-14,0.471775,-14,0.467525,-14,0.47172,-14,0.475555,-14,0.484243,-14,0.574047,-18,1.811484,-18,1.999381
-16,0.20398,-16,0.597956,-16,1.530823,-16,1.647346,-12,0.473606,-16,1.73012,-16,1.738842,-16,1.741971,-16,1.739363,-16,1.740415,-16,1.73787,-16,1.734229,-24,1.868461,-24,1.818637,-28,1.289521,-26,1.125952,-24,1.087183,-20,0.732151,-16,0.523634,-16,0.458342,-16,0.448838,-16,0.432943,-12,0.470051,-12,0.471443,-12,0.467634,-12,0.473606,-12,0.47545,-12,0.485836,-12,0.560544,-16,1.70328,-16,2.001534
-14,0.207311,-14,0.771448,-14,1.57118,-14,1.646361,-10,0.471862,-14,1.730488,-14,1.734068,-14,1.738276,-14,1.623417,-14,1.736697,-14,1.736264,-14,1.734984,-22,1.868471,-22,1.860245,-26,1.346438,-24,1.154599,-22,1.183573,-18,0.710597,-14,0.518949,-14,0.458661,-14,0.44858,-14,0.434971,-10,0.469445,-10,0.473161,-10,0.467951,-10,0.471862,-10,0.474301,-10,0.48623,-10,0.559203,-14,1.489378,-14,1.997836
-12,0.224984,-12,0.819431,-12,1.581118,-12,1.648396,-8,0.46846,-12,1.731513,-12,1.734997,-12,1.736408,-12,1.738263,-12,1.738958,-12,1.737046,-12,1.736554,-20,1.870437,-20,1.86668,-24,1.445136,-22,1.237864,-20,1.182515,-16,0.707117,-12,0.521824,-12,0.458049,-12,0.447412,-12,0.435388,-8,0.470948,-8,0.472131,-8,0.466515,-8,0.46846,-8,0.479166,-8,0.485692,-8,0.560673,-12,1.492129,-12,1.995615
-10,0.204436,-10,0.83038,-10,1.482225,-10,1.647488,-6,0.469959,-10,1.730337,-10,1.7319,-10,1.735987,-10,1.737855,-10,1.738711,-10,1.73709,-10,1.735475,-18,1.871903,-18,1.871262,-22,1.475183,-20,1.213712,-18,1.157707,-14,0.705693,-10,0.520919,-10,0.458122,-10,0.447503,-10,0.435928,-6,0.470928,-6,0.472279,-6,0.466003,-6,0.469959,-6,0.474238,-6,0.483138,-6,0.558826,-10,1.468009,-10,1.99873
-8,0.202972,-8,0.830762,-8,1.582528,-8,1.649543,-4,0.46921,-8,1.728739,-8,1.734798,-8,1.66311,-8,1.737994,-8,1.739424,-8,1.742095,-8,1.736927,-16,1.871957,-16,1.870056,-20,1.501737,-18,1.206021,-16,1.149772,-12,0.704827,-8,0.520461,-8,0.460153,-8,0.447171,-8,0.438328,-4,0.467982,-4,0.471742,-4,0.464765,-4,0.46921,-4,0.475283,-4,0.486212,-4,0.561333,-8,1.471506,-8,1.998267
-6,0.201092,-6,0.819225,-6,1.583572,-4,1.647663,-2,0.471967,-6,1.729699,-6,1.736088,-6,1.741131,-6,1.740575,-6,1.620882,-6,1.736713,-6,1.734577,-14,1.87254,-14,1.875232,-18,1.498493,-16,1.198784,-14,1.149622,-10,0.703851,-6,0.522018,-6,0.459987,-6,0.448698,-6,0.438283,-2,0.437679,-2,0.474502,-2,0.466804,-2,0.471967,-2,0.475515,-2,0.48604,-2,0.560659,-6,1.472894,-6,1.999438
-4,0.2025,-4,0.798028,-4,1.582789,-2,1.647129,2,0.46975,-4,1.731282,-4,1.737873,-4,1.741028,-4,1.740439,-4,1.741151,-4,1.739433,-4,1.735074,-12,1.872863,-12,1.875814,-16,1.494939,-14,1.19498,-12,1.14713,-8,0.701259,-4,0.520319,-4,0.460474,-4,0.449723,-4,0.436634,2,0.465509,2,0.47337,2,0.468,2,0.46975,2,0.477088,2,0.485054,2,0.561254,-4,1.470265,-4,1.99727
-2,0.201854,-2,0.800028,-2,1.586499,2,1.64561,4,0.47077,-2,1.731328,-2,1.735925,-2,1.7378,-2,1.741403,-2,1.740693,-2,1.740044,-2,1.733423,-10,1.870579,-10,1.873238,-14,1.495253,-12,1.195475,-10,1.149902,-6,0.699956,-2,0.521653,-2,0.461266,-2,0.45107,-2,0.435021,4,0.466968,4,0.473624,4,0.466703,4,0.47077,4,0.478281,4,0.485858,4,0.559945,-2,1.472281,-2,1.997724
2,0.201955,2,0.796247,2,1.582586,4,1.64481,6,0.470614,2,1.729702,2,1.735493,2,1.738501,2,1.741626,2,1.741925,2,1.738067,2,1.597761,-8,1.869388,-8,1.875602,-10,1.491844,-10,1.196454,-8,1.150193,-4,0.699375,2,0.520562,2,0.460779,2,0.450002,2,0.434707,6,0.466663,6,0.473714,6,0.47037,6,0.470614,6,0.479173,6,0.484401,6,0.559355,2,1.474369,2,1.997325
4,0.200066,4,0.789115,4,1.58115,6,1.646588,8,0.469973,4,1.728539,4,1.734399,4,1.737079,4,1.739092,4,1.741857,4,1.737383,4,1.733823,-6,1.872965,-6,1.875675,-8,1.491259,-8,1.19562,-6,1.148352,-2,0.698947,4,0.520189,4,0.46052,4,0.450005,4,0.436185,8,0.467715,8,0.473089,8,0.467832,8,0.469973,8,0.477781,8,0.488203,8,0.562836,4,1.474205,4,1.997873
6,0.202433,6,0.783083,6,1.581357,8,1.645563,10,0.469413,6,1.729788,6,1.735392,6,1.738488,6,1.740935,6,1.74264,6,1.73942,6,1.73613,-4,1.875371,-4,1.875873,-6,1.491794,-6,1.193826,-4,1.151461,2,0.699164,6,0.520079,6,0.461988,6,0.451329,6,0.435941,10,0.468669,10,0.4713,10,0.469649,10,0.469413,10,0.478851,10,0.489434,10,0.596827,6,1.47353,6,1.998588
8,0.20206,8,0.748202,8,1.58047,10,1.647484,12,0.473063,8,1.731804,8,1.735052,8,1.737453,8,1.741375,8,1.741332,8,1.737611,8,1.733999,-2,1.872046,-2,1.875142,-4,1.49283,-4,1.197132,-2,1.151349,4,0.700296,8,0.517844,8,0.461036,8,0.425952,8,0.435457,12,0.467777,12,0.469689,12,0.468786,12,0.473063,12,0.502056,12,0.671482,12,1.470066,8,1.516963,8,2.000689
10,0.201628,10,0.43018,10,1.577581,12,1.637118,14,1.10448,10,1.731866,10,1.737411,10,1.735543,10,1.740311,10,1.741038,10,1.738619,10,1.735574,2,1.871917,2,1.876783,-2,1.49238,-2,1.197825,2,1.148271,6,0.698043,10,0.520544,10,0.45834,10,0.451152,10,0.435608,14,0.47405,14,0.483957,14,0.606915,14,1.10448,14,1.431077,14,1.669855,14,1.718975,10,1.788643,10,2.000565
12,0.199349,12,0.311242,12,1.009289,14,0.601092,16,1.679303,12,1.731392,12,1.736409,12,1.736948,12,1.740913,12,1.739047,12,1.738517,12,1.737067,4,1.870622,4,1.876349,2,1.493607,2,1.193864,4,1.010114,8,0.700645,12,0.520648,12,0.458407,12,0.454273,12,0.435715,16,0.887704,16,1.546471,16,1.622883,16,1.679303,16,1.717488,16,1.719673,16,1.720752,12,1.871794,12,1.998213
